0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:27:49 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:29:44 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:29:44 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 206 517609
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:07 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:24 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:27 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:30:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:31:17 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:32:06 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:32:06 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:34:14 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:35:15 +0900] "GET /client/html/video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:35:15 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 2410
